teebenchargs_id,algorithm,threads,relR,relS,matches,phase1Cycles,phase2Cycles,cyclesPerTuple,phase1Time,phase2Time,totalTime,throughput,phase1L3CacheMisses,phase1L3HitRatio,phase1L2CacheMisses,phase1L2HitRatio,phase1IPC,phase1IR,phase1EWB,phase1VoluntaryCS,phase1InvoluntaryCS,phase1UserCpuTime,phase1SystemCpuTime,phase2L3CacheMisses,phase2L3HitRatio,phase2L2CacheMisses,phase2L2HitRatio,phase2IPC,phase2IR,phase2EWB,phase2VoluntaryCS,phase2InvoluntaryCS,phase2UserCpuTime,phase2SystemCpuTime,totalL3CacheMisses,totalL3HitRatio,totalL2CacheMisses,totalL2HitRatio,totalIPC,totalIR,totalEWB,totalVoluntaryCS,totalInvoluntaryCS,totalUserCpuTime,totalSystemCpuTime
0,CrkJoin,1,13107200,52428800,0,0,0,43,538,832303,832841,78.6897,177,0.97,6400,0.28,0.52,1212279,0,5,48,832438,3722,0,0.00,0,0.00,0.00,0,0,0,0,0,0,18720,0.86,142314,0.34,0.00,19200594,1104,5,80,833382,4365
1,CrkJoin,1,13107200,52428800,52428800,0,0,183,484,3519501,3519985,18.6183,244,0.97,7613,0.28,0.49,1300859,0,11,54,3519533,3747,0,0.00,0,0.00,0.00,0,0,0,0,0,0,71278,0.87,592143,0.39,0.00,52903723,1344,11,86,3521004,3812
2,CrkJoin,1,13107200,52428800,52428800,0,0,182,600,3499503,3500103,18.7240,182,0.97,6768,0.28,0.51,1217567,0,7,54,3498474,4709,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79776,0.85,567854,0.43,0.00,55189849,1344,7,86,3499986,4851
3,CrkJoin,1,13107200,52428800,52428800,0,0,181,268,3484522,3484790,18.8063,180,0.97,7170,0.26,0.56,1223643,0,9,53,3479782,7928,0,0.00,0,0.00,0.00,0,0,0,0,0,0,82969,0.86,638965,0.42,0.00,74806078,1392,9,85,3480479,8765
4,CrkJoin,1,13107200,52428800,52428800,0,0,179,286,3446468,3446754,19.0138,180,0.97,6336,0.31,0.54,1210886,0,4,56,3447526,2024,0,0.00,0,0.00,0.00,0,0,0,0,0,0,74220,0.86,567391,0.42,0.00,53887285,1344,4,88,3448170,2887
5,CrkJoin,1,13107200,52428800,52428800,0,0,176,322,3387861,3388183,19.3425,185,0.97,6881,0.28,0.52,1221926,0,4,52,3391457,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,90341,0.85,617012,0.39,0.00,55323291,1344,4,84,3392953,66
6,CrkJoin,1,13107200,52428800,52428800,0,0,171,292,3302769,3303061,19.8410,179,0.97,6689,0.29,0.51,1215430,0,4,53,3302805,3455,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79514,0.85,578031,0.41,0.00,51867397,1392,4,85,3303590,4289
7,CrkJoin,1,13107200,52428800,52428800,0,0,164,612,3168967,3169579,20.6766,183,0.97,6696,0.28,0.51,1220251,0,7,53,3168623,4046,0,0.00,0,0.00,0.00,0,0,0,0,0,0,73390,0.85,511084,0.45,0.00,47814068,1344,7,85,3170035,4198
8,CrkJoin,1,13107200,52428800,52428800,0,0,155,287,2982690,2982977,21.9700,178,0.97,6813,0.27,0.51,1224952,0,4,53,2986239,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,70814,0.85,498021,0.45,0.00,47314156,1344,4,85,2987863,0
9,CrkJoin,1,13107200,52428800,52428800,0,0,142,280,2731386,2731666,23.9912,180,0.97,6818,0.26,0.52,1223149,0,9,52,2727153,7844,0,0.00,0,0.00,0.00,0,0,0,0,0,0,72430,0.83,452616,0.50,0.00,47202890,1344,9,84,2728572,8043
10,CrkJoin,1,13107200,52428800,52428800,0,0,126,260,2432455,2432715,26.9394,217,0.97,6939,0.29,0.54,1240797,0,5,51,2427711,7879,0,0.00,0,0.00,0.00,0,0,0,0,0,0,59346,0.86,457637,0.48,0.00,44604817,1344,5,83,2428949,8090
11,CrkJoin,1,13107200,52428800,5242880,0,0,166,274,3199868,3200142,20.4791,181,0.97,6824,0.27,0.51,1224397,0,5,54,3200607,2756,0,0.00,0,0.00,0.00,0,0,0,0,0,0,81683,0.86,614365,0.45,0.00,66594268,1392,5,86,3201661,3332
12,CrkJoin,1,13107200,52428800,52428800,0,0,183,282,3526606,3526888,18.5818,212,0.97,7000,0.29,0.50,1244617,0,9,55,3526451,3784,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79810,0.86,600996,0.40,0.00,53228456,1344,9,87,3527962,3921
13,CrkJoin,1,13107200,52428800,52428800,0,0,182,305,3510357,3510662,18.6677,188,0.97,7458,0.26,0.51,1242574,0,11,53,3513736,105,0,0.00,0,0.00,0.00,0,0,0,0,0,0,105475,0.84,699820,0.43,0.00,75277649,1392,11,85,3515156,240
14,CrkJoin,1,13107200,52428800,52428800,0,0,180,287,3476844,3477131,18.8477,183,0.97,6707,0.28,0.51,1214863,0,11,51,3480412,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,72333,0.87,580572,0.41,0.00,51444511,1344,11,83,3481030,923
15,CrkJoin,1,13107200,52428800,52428800,0,0,179,278,3443925,3444203,19.0279,182,0.97,7046,0.27,0.51,1225756,0,4,57,3443014,4233,0,0.00,0,0.00,0.00,0,0,0,0,0,0,91518,0.85,646718,0.43,0.00,69535480,1344,4,89,3444490,4367
16,CrkJoin,1,13107200,52428800,52428800,0,0,176,452,3388027,3388479,19.3408,179,0.97,6809,0.27,0.51,1223311,0,5,57,3391340,350,0,0.00,0,0.00,0.00,0,0,0,0,0,0,71582,0.87,559250,0.41,0.00,50350595,1344,5,89,3392794,491
17,CrkJoin,1,13107200,52428800,52428800,0,0,171,470,3302285,3302755,19.8428,181,0.97,6921,0.26,0.51,1231637,0,5,56,3301704,4152,0,0.00,0,0.00,0.00,0,0,0,0,0,0,109919,0.82,689114,0.45,0.01,92182777,1344,5,88,3303067,4289
18,CrkJoin,1,13107200,52428800,52428800,0,0,165,288,3175285,3175573,20.6375,183,0.97,7049,0.27,0.51,1232615,0,4,57,3174512,4213,0,0.00,0,0.00,0.00,0,0,0,0,0,0,66903,0.85,491269,0.47,0.00,49123739,1344,4,89,3175968,4370
19,CrkJoin,1,13107200,52428800,52428800,0,0,155,288,2983979,2984267,21.9605,184,0.97,6932,0.27,0.51,1234297,0,4,54,2983622,3907,0,0.00,0,0.00,0.00,0,0,0,0,0,0,70372,0.85,492067,0.46,0.00,46477222,1344,4,86,2985072,4084
20,CrkJoin,1,13107200,52428800,52428800,0,0,141,289,2729278,2729567,24.0097,178,0.97,6863,0.27,0.51,1216437,0,9,52,2732740,78,0,0.00,0,0.00,0.00,0,0,0,0,0,0,56968,0.87,472955,0.48,0.00,44521859,1344,9,84,2734134,274
21,CrkJoin,1,13107200,52428800,52428800,0,0,126,286,2436851,2437137,26.8906,202,0.97,8293,0.27,0.50,1312280,0,4,50,2438366,1998,0,0.00,0,0.00,0.00,0,0,0,0,0,0,57768,0.85,412743,0.49,0.00,43293295,1392,4,82,2439118,2857
22,CrkJoin,1,13107200,52428800,10485760,0,0,169,288,3253186,3253474,20.1434,183,0.97,6734,0.28,0.51,1217979,0,5,54,3253417,3207,0,0.00,0,0.00,0.00,0,0,0,0,0,0,63464,0.87,508942,0.44,0.00,49235845,1392,5,86,3254744,3558
23,CrkJoin,1,13107200,52428800,52428800,0,0,182,285,3516965,3517250,18.6327,266,0.96,7834,0.26,0.51,1312668,0,9,53,3512500,8048,0,0.00,0,0.00,0.00,0,0,0,0,0,0,85560,0.85,602124,0.40,0.00,51406554,1344,9,85,3513990,8185
24,CrkJoin,1,13107200,52428800,52428800,0,0,182,501,3501765,3502266,18.7125,182,0.97,6883,0.29,0.51,1221996,0,10,52,3505524,108,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79728,0.85,586306,0.41,0.00,51317009,1344,10,84,3506992,235
25,CrkJoin,1,13107200,52428800,52428800,0,0,180,486,3478623,3479109,18.8370,230,0.97,6924,0.27,0.50,1236973,0,11,50,3478240,4181,0,0.00,0,0.00,0.00,0,0,0,0,0,0,483294,0.86,4615740,0.27,0.02,426248677,1344,11,82,3479712,4318
26,CrkJoin,1,13107200,52428800,52428800,0,0,178,486,3441609,3442095,19.0396,183,0.97,6837,0.27,0.51,1229571,0,6,58,3442607,2536,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79904,0.86,591955,0.39,0.00,51314955,1344,6,90,3443401,3375
27,CrkJoin,1,13107200,52428800,52428800,0,0,176,287,3389207,3389494,19.3350,188,0.97,6885,0.27,0.53,1220566,0,4,56,3388401,3998,0,0.00,0,0.00,0.00,0,0,0,0,0,0,72823,0.87,573562,0.41,0.00,53397519,1392,4,88,3389901,4144
28,CrkJoin,1,13107200,52428800,52428800,0,0,171,455,3301754,3302209,19.8461,190,0.97,7632,0.26,0.51,1256747,0,4,54,3289763,15796,0,0.00,0,0.00,0.00,0,0,0,0,0,0,75286,0.86,552213,0.43,0.00,52139369,1344,4,86,3291245,15946
29,CrkJoin,1,13107200,52428800,52428800,0,0,165,291,3179645,3179936,20.6092,184,0.97,6586,0.28,0.51,1216259,0,4,54,3182884,231,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79122,0.85,583042,0.45,0.00,66496184,1392,4,86,3184314,383
30,CrkJoin,1,13107200,52428800,52428800,0,0,155,493,2990526,2991019,21.9109,283,0.96,7179,0.31,0.54,1330429,0,6,52,2986821,7133,0,0.00,0,0.00,0.00,0,0,0,0,0,0,64141,0.86,486799,0.47,0.00,49763868,1344,6,84,2987447,7907
31,CrkJoin,1,13107200,52428800,52428800,0,0,142,290,2733354,2733644,23.9739,232,0.97,8380,0.26,0.51,1305989,0,9,53,2736959,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,52330,0.87,431633,0.49,0.00,43050207,1392,9,85,2738377,186
32,CrkJoin,1,13107200,52428800,52428800,0,0,126,513,2429731,2430244,26.9668,187,0.97,7090,0.28,0.50,1237372,0,5,54,2429437,4032,0,0.00,0,0.00,0.00,0,0,0,0,0,0,63353,0.84,421031,0.50,0.00,46844519,1344,5,86,2430833,4270
33,CrkJoin,1,13107200,52428800,15728641,0,0,173,288,3342712,3343000,19.6039,178,0.97,6776,0.28,0.51,1216180,0,4,52,3335880,10398,0,0.00,0,0.00,0.00,0,0,0,0,0,0,75255,0.86,553353,0.43,0.00,51158317,1392,4,84,3336924,10968
34,CrkJoin,1,13107200,52428800,52428800,0,0,182,556,3518508,3519064,18.6231,192,0.97,7203,0.26,0.51,1235391,0,9,55,3514511,7833,0,0.00,0,0.00,0.00,0,0,0,0,0,0,84859,0.86,631508,0.39,0.00,51600090,1344,9,87,3516005,7970
35,CrkJoin,1,13107200,52428800,52428800,0,0,182,570,3500678,3501248,18.7179,182,0.97,6826,0.27,0.51,1219666,0,11,53,3500649,3949,0,0.00,0,0.00,0.00,0,0,0,0,0,0,81197,0.86,609433,0.42,0.00,54342331,1344,11,85,3501320,4888
36,CrkJoin,1,13107200,52428800,52428800,0,0,181,452,3482140,3482592,18.8182,178,0.97,6817,0.26,0.51,1217882,0,10,51,3478947,7052,0,0.00,0,0.00,0.00,0,0,0,0,0,0,84128,0.85,588479,0.42,0.00,55350449,1344,10,83,3479755,7870
37,CrkJoin,1,13107200,52428800,52428800,0,0,179,461,3442311,3442772,19.0358,185,0.97,6784,0.28,0.52,1226247,0,5,58,3443499,2224,0,0.00,0,0.00,0.00,0,0,0,0,0,0,83162,0.85,582213,0.42,0.00,52645972,1344,5,90,3444301,3044
38,CrkJoin,1,13107200,52428800,52428800,0,0,176,482,3385349,3385831,19.3560,211,0.97,7614,0.25,0.50,1268266,0,6,57,3381206,7724,0,0.00,0,0.00,0.00,0,0,0,0,0,0,75918,0.86,567684,0.41,0.00,49903913,1344,6,89,3382679,7868
39,CrkJoin,1,13107200,52428800,52428800,0,0,171,296,3299794,3300090,19.8589,193,0.97,6927,0.27,0.51,1230878,0,4,52,3297056,6243,0,0.00,0,0.00,0.00,0,0,0,0,0,0,75005,0.86,554548,0.43,0.00,54136127,1392,4,84,3297849,6996
40,CrkJoin,1,13107200,52428800,52428800,0,0,164,279,3169124,3169403,20.6777,220,0.97,6744,0.29,0.51,1235337,0,4,57,3168503,3958,0,0.00,0,0.00,0.00,0,0,0,0,0,0,64470,0.86,499618,0.45,0.00,48634533,1392,4,89,3169988,4036
41,CrkJoin,1,13107200,52428800,52428800,0,0,155,262,2990327,2990589,21.9141,242,0.97,8476,0.26,0.51,1332878,0,5,53,2990030,3725,0,0.00,0,0.00,0.00,0,0,0,0,0,0,85399,0.84,585470,0.47,0.00,65563379,1344,5,85,2991466,3890
42,CrkJoin,1,13107200,52428800,52428800,0,0,142,469,2732082,2732551,23.9834,192,0.97,7185,0.27,0.51,1247261,0,10,56,2729726,6075,0,0.00,0,0.00,0.00,0,0,0,0,0,0,71051,0.84,464296,0.48,0.00,46900434,1344,10,88,2730506,6853
43,CrkJoin,1,13107200,52428800,52428800,0,0,126,289,2439129,2439418,26.8654,178,0.97,6950,0.28,0.52,1222465,0,4,54,2436281,6370,0,0.00,0,0.00,0.00,0,0,0,0,0,0,57725,0.87,476844,0.50,0.01,63206573,1392,4,86,2437051,7162
44,CrkJoin,1,13107200,52428800,20971521,0,0,172,469,3323179,3323648,19.7181,179,0.97,6660,0.29,0.51,1218423,0,5,55,3326543,340,0,0.00,0,0.00,0.00,0,0,0,0,0,0,70992,0.86,526040,0.44,0.00,48562327,1344,5,87,3327533,892
45,CrkJoin,1,13107200,52428800,52428800,0,0,183,459,3525184,3525643,18.5884,246,0.97,7687,0.27,0.50,1290060,0,9,51,3520898,8053,0,0.00,0,0.00,0.00,0,0,0,0,0,0,115793,0.82,689768,0.44,0.00,76118977,1344,9,83,3522404,8184
46,CrkJoin,1,13107200,52428800,52428800,0,0,182,297,3500068,3500365,18.7226,178,0.97,6483,0.28,0.51,1218898,0,9,54,3499322,4292,0,0.00,0,0.00,0.00,0,0,0,0,0,0,78434,0.85,551435,0.43,0.00,50128584,1344,9,86,3500797,4429
47,CrkJoin,1,13107200,52428800,52428800,0,0,181,264,3495693,3495957,18.7462,234,0.96,6852,0.28,0.51,1236306,0,5,51,3491202,7888,0,0.00,0,0.00,0.00,0,0,0,0,0,0,97860,0.85,704068,0.41,0.00,73227932,1344,5,83,3492677,8028
48,CrkJoin,1,13107200,52428800,52428800,0,0,179,482,3445831,3446313,19.0163,185,0.97,6836,0.27,0.51,1220053,0,6,52,3445376,4138,0,0.00,0,0.00,0.00,0,0,0,0,0,0,68375,0.87,537874,0.43,0.00,49494750,1344,6,84,3446059,5068
49,CrkJoin,1,13107200,52428800,52428800,0,0,176,288,3390897,3391185,19.3254,191,0.97,6822,0.27,0.51,1220588,0,4,55,3385730,8561,0,0.00,0,0.00,0.00,0,0,0,0,0,0,91468,0.85,659944,0.42,0.00,71128518,1392,4,87,3387239,8713
50,CrkJoin,1,13107200,52428800,52428800,0,0,171,509,3295156,3295665,19.8855,180,0.97,6639,0.27,0.51,1216988,0,5,55,3291378,7507,0,0.00,0,0.00,0.00,0,0,0,0,0,0,71622,0.85,502312,0.46,0.00,47223812,1344,5,87,3292843,7650
51,CrkJoin,1,13107200,52428800,52428800,0,0,164,483,3166599,3167082,20.6929,180,0.97,6868,0.28,0.52,1222738,0,6,55,3162262,8132,0,0.00,0,0.00,0.00,0,0,0,0,0,0,75631,0.86,586938,0.42,0.00,51133302,1344,6,87,3163718,8288
52,CrkJoin,1,13107200,52428800,52428800,0,0,154,456,2979846,2980302,21.9897,177,0.97,6696,0.26,0.51,1223069,0,4,55,2983554,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,69031,0.85,493227,0.46,0.00,45050808,1344,4,87,2985063,108
53,CrkJoin,1,13107200,52428800,52428800,0,0,142,475,2738563,2739038,23.9266,178,0.97,6629,0.28,0.51,1214649,0,10,53,2742310,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,85903,0.83,554426,0.48,0.00,65375045,1344,10,85,2742980,855
54,CrkJoin,1,13107200,52428800,52428800,0,0,126,271,2428343,2428614,26.9849,181,0.97,7005,0.26,0.52,1225895,0,4,54,2428423,3286,0,0.00,0,0.00,0.00,0,0,0,0,0,0,44169,0.88,388419,0.52,0.00,41397080,1344,4,86,2429150,4173
55,CrkJoin,1,13107200,52428800,26214400,0,0,177,282,3406726,3407008,19.2356,178,0.97,7007,0.29,0.51,1218783,0,4,52,3405445,4826,0,0.00,0,0.00,0.00,0,0,0,0,0,0,87499,0.85,597135,0.42,0.00,55829851,1392,4,84,3405445,6399
56,CrkJoin,1,13107200,52428800,52428800,0,0,183,498,3519245,3519743,18.6195,185,0.97,6775,0.26,0.51,1216751,0,9,53,3514837,8211,0,0.00,0,0.00,0.00,0,0,0,0,0,0,93140,0.84,626586,0.40,0.00,57289411,1344,9,85,3516355,8351
57,CrkJoin,1,13107200,52428800,52428800,0,0,182,285,3502627,3502912,18.7090,178,0.97,7053,0.26,0.51,1224625,0,9,53,3502083,4139,0,0.00,0,0.00,0.00,0,0,0,0,0,0,73541,0.87,588607,0.40,0.00,52025907,1392,9,85,3503594,4277
58,CrkJoin,1,13107200,52428800,52428800,0,0,181,486,3481416,3481902,18.8219,179,0.97,7147,0.25,0.51,1230974,0,11,54,3481131,4080,0,0.00,0,0.00,0.00,0,0,0,0,0,0,74099,0.87,596698,0.40,0.00,54479018,1344,11,86,3482623,4220
59,CrkJoin,1,13107200,52428800,52428800,0,0,178,273,3441814,3442087,19.0396,187,0.97,7005,0.27,0.50,1235183,0,6,54,3441169,4088,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79719,0.85,564288,0.42,0.00,51554796,1392,6,86,3442662,4228
60,CrkJoin,1,13107200,52428800,52428800,0,0,175,296,3382515,3382811,19.3732,181,0.97,6784,0.27,0.51,1221064,0,4,53,3382132,3861,0,0.00,0,0.00,0.00,0,0,0,0,0,0,81313,0.86,595646,0.42,0.00,53393065,1344,4,85,3383666,3929
61,CrkJoin,1,13107200,52428800,52428800,0,0,171,565,3298885,3299450,19.8627,200,0.97,7466,0.27,0.51,1254895,0,5,54,3302585,122,0,0.00,0,0.00,0.00,0,0,0,0,0,0,82406,0.85,577757,0.42,0.00,52300296,1344,5,86,3304051,268
62,CrkJoin,1,13107200,52428800,52428800,0,0,165,446,3177290,3177736,20.6235,182,0.97,6957,0.26,0.52,1221269,0,6,53,3180932,6,0,0.00,0,0.00,0.00,0,0,0,0,0,0,72152,0.85,523573,0.43,0.00,47172880,1344,6,85,3182358,161
63,CrkJoin,1,13107200,52428800,52428800,0,0,155,283,2981844,2982127,21.9763,179,0.97,6797,0.28,0.51,1222308,0,4,52,2985198,96,0,0.00,0,0.00,0.00,0,0,0,0,0,0,70180,0.86,527003,0.46,0.00,47734788,1344,4,84,2985874,1031
64,CrkJoin,1,13107200,52428800,52428800,0,0,141,285,2729339,2729624,24.0092,192,0.98,8302,0.26,0.51,1302622,0,9,51,2721876,11045,0,0.00,0,0.00,0.00,0,0,0,0,0,0,61640,0.86,451286,0.48,0.00,46324881,1344,9,83,2722619,11915
65,CrkJoin,1,13107200,52428800,52428800,0,0,126,307,2429363,2429670,26.9732,182,0.97,7001,0.27,0.50,1245365,0,5,50,2421717,11303,0,0.00,0,0.00,0.00,0,0,0,0,0,0,48874,0.87,400507,0.50,0.00,41675794,1344,5,82,2423043,11528
66,CrkJoin,1,13107200,52428800,31457281,0,0,172,477,3307297,3307774,19.8127,399,0.95,8031,0.30,0.47,1388666,0,6,53,3310874,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,101924,0.85,725435,0.41,0.01,92258976,1344,6,85,3312113,305
67,CrkJoin,1,13107200,52428800,52428800,0,0,182,283,3513292,3513575,18.6522,186,0.98,8273,0.24,0.51,1293922,0,9,51,3504865,12015,0,0.00,0,0.00,0.00,0,0,0,0,0,0,83613,0.86,629774,0.39,0.00,54810942,1392,9,83,3506330,12152
68,CrkJoin,1,13107200,52428800,52428800,0,0,182,531,3506853,3507384,18.6852,183,0.97,7446,0.26,0.51,1248753,0,11,53,3506514,4193,0,0.00,0,0.00,0.00,0,0,0,0,0,0,94011,0.85,677982,0.42,0.00,72110199,1344,11,85,3507948,4323
69,CrkJoin,1,13107200,52428800,52428800,0,0,181,466,3480608,3481074,18.8264,346,0.96,8666,0.27,0.50,1352995,0,10,52,3484415,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,74060,0.87,583807,0.40,0.00,51601071,1344,10,84,3485947,100
70,CrkJoin,1,13107200,52428800,52428800,0,0,178,482,3437932,3438414,19.0600,183,0.97,6821,0.27,0.51,1220057,0,6,53,3437501,4125,0,0.00,0,0.00,0.00,0,0,0,0,0,0,82731,0.87,674043,0.43,0.00,69929077,1344,6,86,3438120,5038
71,CrkJoin,1,13107200,52428800,52428800,0,0,176,264,3386554,3386818,19.3503,181,0.97,6861,0.27,0.51,1221182,0,4,52,3389765,129,0,0.00,0,0.00,0.00,0,0,0,0,0,0,83261,0.84,570898,0.44,0.00,53425351,1392,4,84,3391265,196
72,CrkJoin,1,13107200,52428800,52428800,0,0,171,286,3299756,3300042,19.8591,188,0.97,7595,0.26,0.51,1278195,0,4,52,3302942,233,0,0.00,0,0.00,0.00,0,0,0,0,0,0,76260,0.86,555614,0.43,0.00,51377127,1392,4,84,3304393,378
73,CrkJoin,1,13107200,52428800,52428800,0,0,165,264,3188139,3188403,20.5545,248,0.96,7495,0.29,0.50,1331442,0,6,51,3188915,2576,0,0.00,0,0.00,0.00,0,0,0,0,0,0,104510,0.83,634997,0.42,0.00,62488508,1392,6,83,3189556,3321
74,CrkJoin,1,13107200,52428800,52428800,0,0,155,489,2985701,2986190,21.9464,179,0.97,6913,0.26,0.51,1215596,0,6,53,2989427,35,0,0.00,0,0.00,0.00,0,0,0,0,0,0,67676,0.86,524889,0.42,0.00,46899140,1344,6,85,2990874,203
75,CrkJoin,1,13107200,52428800,52428800,0,0,142,288,2733592,2733880,23.9718,603,0.92,7363,0.28,0.45,1255904,0,9,50,2733143,4085,0,0.00,0,0.00,0.00,0,0,0,0,0,0,65800,0.85,474693,0.48,0.00,49787846,1392,9,82,2734530,4280
76,CrkJoin,1,13107200,52428800,52428800,0,0,126,275,2435126,2435401,26.9097,183,0.97,6484,0.29,0.56,1217448,0,4,50,2435715,2448,0,0.00,0,0.00,0.00,0,0,0,0,0,0,58379,0.85,402960,0.51,0.00,44477997,1392,4,82,2436454,3237
77,CrkJoin,1,13107200,52428800,36700161,0,0,167,678,3211147,3211825,20.4046,184,0.97,6543,0.29,0.53,1215674,0,7,52,3208009,6701,0,0.00,0,0.00,0.00,0,0,0,0,0,0,64474,0.87,534626,0.43,0.00,50621673,1344,7,84,3209018,7287
78,CrkJoin,1,13107200,52428800,52428800,0,0,182,281,3516904,3517185,18.6331,221,0.97,7679,0.26,0.51,1289696,0,9,53,3516438,3944,0,0.00,0,0.00,0.00,0,0,0,0,0,0,70345,0.87,579637,0.40,0.00,51010649,1344,9,85,3517856,4074
79,CrkJoin,1,13107200,52428800,52428800,0,0,182,291,3508611,3508902,18.6771,268,0.96,8044,0.25,0.50,1314894,0,9,55,3509615,2530,0,0.00,0,0.00,0.00,0,0,0,0,0,0,71081,0.87,589954,0.41,0.00,53466702,1392,9,87,3510401,3371
80,CrkJoin,1,13107200,52428800,52428800,0,0,180,274,3480133,3480407,18.8300,181,0.97,6760,0.27,0.51,1217167,0,10,52,3483448,290,0,0.00,0,0.00,0.00,0,0,0,0,0,0,69035,0.87,568758,0.42,0.00,53021803,1392,10,84,3484905,424
81,CrkJoin,1,13107200,52428800,52428800,0,0,179,287,3442110,3442397,19.0379,218,0.97,7937,0.25,0.51,1297654,0,4,57,3433808,11797,0,0.00,0,0.00,0.00,0,0,0,0,0,0,67569,0.88,591927,0.42,0.00,52489217,1344,4,89,3435289,11938
82,CrkJoin,1,13107200,52428800,52428800,0,0,175,323,3383159,3383482,19.3694,182,0.97,6815,0.28,0.51,1215179,0,5,55,3382804,3817,0,0.00,0,0.00,0.00,0,0,0,0,0,0,84519,0.86,621892,0.41,0.00,55506661,1344,5,87,3384273,3954
83,CrkJoin,1,13107200,52428800,52428800,0,0,172,452,3307495,3307947,19.8117,196,0.97,7255,0.27,0.50,1249509,0,5,53,3307383,3831,0,0.00,0,0.00,0.00,0,0,0,0,0,0,72934,0.86,535089,0.43,0.00,48598541,1344,5,85,3308789,3971
84,CrkJoin,1,13107200,52428800,52428800,0,0,165,289,3181946,3182235,20.5943,182,0.97,7023,0.28,0.51,1226830,0,4,51,3185305,187,0,0.00,0,0.00,0.00,0,0,0,0,0,0,97772,0.84,694912,0.43,0.01,89801619,1392,4,83,3186811,270
85,CrkJoin,1,13107200,52428800,52428800,0,0,155,261,2991426,2991687,21.9060,180,0.97,7161,0.26,0.51,1239767,0,6,51,2986579,8261,0,0.00,0,0.00,0.00,0,0,0,0,0,0,84909,0.83,518991,0.47,0.00,53363539,1392,6,83,2987934,8420
86,CrkJoin,1,13107200,52428800,52428800,0,0,142,283,2739650,2739933,23.9188,183,0.97,6694,0.27,0.51,1216160,0,9,52,2743219,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,65763,0.86,517949,0.46,0.00,61542987,1344,9,84,2744735,102
87,CrkJoin,1,13107200,52428800,52428800,0,0,126,457,2430499,2430956,26.9589,179,0.97,6582,0.27,0.51,1198406,0,4,51,2434042,74,0,0.00,0,0.00,0.00,0,0,0,0,0,0,56791,0.85,401183,0.51,0.00,42951135,1344,4,83,2435426,322
88,CrkJoin,1,13107200,52428800,41943040,0,0,165,462,3185661,3186123,20.5692,180,0.97,6630,0.29,0.54,1217075,0,5,53,3183133,5999,0,0.00,0,0.00,0.00,0,0,0,0,0,0,66686,0.86,520799,0.45,0.00,54070954,1344,5,85,3183736,6976
89,CrkJoin,1,13107200,52428800,52428800,0,0,183,277,3525947,3526224,18.5853,179,0.97,6898,0.26,0.51,1220002,0,11,52,3529370,76,0,0.00,0,0.00,0.00,0,0,0,0,0,0,113591,0.82,687233,0.43,0.00,75991931,1344,11,84,3530750,204
90,CrkJoin,1,13107200,52428800,52428800,0,0,182,281,3504694,3504975,18.6980,178,0.97,6624,0.27,0.51,1216234,0,10,60,3508148,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,71895,0.87,575607,0.42,0.00,52283495,1392,10,92,3509581,94
91,CrkJoin,1,13107200,52428800,52428800,0,0,181,461,3483893,3484354,18.8087,185,0.97,6650,0.29,0.52,1224087,0,10,52,3487265,287,0,0.00,0,0.00,0.00,0,0,0,0,0,0,90836,0.86,697990,0.41,0.00,72242651,1344,10,84,3487980,1230
92,CrkJoin,1,13107200,52428800,52428800,0,0,179,255,3443688,3443943,19.0294,185,0.97,6452,0.28,0.51,1207929,0,4,56,3446893,221,0,0.00,0,0.00,0.00,0,0,0,0,0,0,77602,0.86,616150,0.43,0.00,67352551,1392,4,88,3448431,369
93,CrkJoin,1,13107200,52428800,52428800,0,0,177,468,3403578,3404046,19.2524,183,0.97,7110,0.27,0.51,1225889,0,5,53,3399353,7908,0,0.00,0,0.00,0.00,0,0,0,0,0,0,86943,0.86,642798,0.44,0.00,69976506,1344,5,85,3400768,8043
94,CrkJoin,1,13107200,52428800,52428800,0,0,171,288,3299791,3300079,19.8589,180,0.97,6942,0.26,0.51,1223210,0,4,57,3299214,3928,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79073,0.85,567419,0.42,0.00,51001226,1344,4,89,3300668,4082
95,CrkJoin,1,13107200,52428800,52428800,0,0,164,290,3169688,3169978,20.6740,186,0.97,7145,0.27,0.51,1233436,0,4,51,3165167,7964,0,0.00,0,0.00,0.00,0,0,0,0,0,0,74447,0.85,515054,0.46,0.00,50749082,1392,4,83,3166616,8124
